osm_id,name,category,latitude,longitude,address,street,city,province,region,municipality,municipality_psgc,province_psgc,region_psgc,source
165972238,McDonald's,fast_food,14.6199531,121.1021762,,F. P. Felix Avenue,,Rizal,CALABARZON,Cainta,405805000,405800000,400000000,OpenStreetMap
244888458,Amazing Grace Academy (Annex),school,14.4158172,120.9561059,,,,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
245224738,Seven Seas NKP Elementry High School,school,14.4181774,120.9514185,,,,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
246769839,Mother Of Christ Montessouri Integrated School,school,14.4184445,120.9540211,,,,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
253499588,Zark's Burgers,fast_food,14.1680796,121.2435413,,Lopez Avenue,Los Baños,Laguna,CALABARZON,Los Baños,403411000,403400000,400000000,OpenStreetMap
253770230,Watsons,pharmacy,14.1680371,121.2435152,,Lopez Avenue,Los Baños,Laguna,CALABARZON,Los Baños,403411000,403400000,400000000,OpenStreetMap
255053484,Tropical Hut,fast_food,14.5791432,121.1351706,,,,Rizal,CALABARZON,Taytay,405813000,405800000,400000000,OpenStreetMap
255056564,Jollibee,fast_food,14.4618281,120.9625608,,Aguinaldo Highway,Bacoor,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
255057116,911,convenience,14.457711,120.932701,,,Bacoor,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
255057878,Manlapaz Furniture,furniture,14.485281,121.1865,,,,Rizal,CALABARZON,Binangonan,405804000,405800000,400000000,OpenStreetMap
255059073,Hope Academy of Rizal,school,14.589143,121.1301535,,Saint Christopher Street,Cainta,Rizal,CALABARZON,Cainta,405805000,405800000,400000000,OpenStreetMap
255059923,Morning Dew Montessori School,school,14.5878128,121.1256625,,Sunset Drive,Cainta,Rizal,CALABARZON,Cainta,405805000,405800000,400000000,OpenStreetMap
255061268,Seareyna,pub,14.3153339,120.9152699,,,General Trias,Cavite,CALABARZON,City of General Trias,402108000,402100000,400000000,OpenStreetMap
255063332,Callos Resort and Spa,resort,14.5677238,121.1686596,,,,Rizal,CALABARZON,City of Antipolo,405802000,405800000,400000000,OpenStreetMap
255064820,Red Ribbon,pastry,14.3261505,120.9406954,,Aguinaldo Highway,Dasmariñas,Cavite,CALABARZON,City of Dasmariñas,402106000,402100000,400000000,OpenStreetMap
255068205,BC2 Digman Halohalo,fast_food,14.4602715,120.9431628,,,Bacoor,Cavite,CALABARZON,City of Bacoor,402103000,402100000,400000000,OpenStreetMap
