adm3_psgc,municipality_city,province_psgc,region_psgc,population_2010,population_2015,population_2020,population_2024,total_osm_records,businesses_accommodation,businesses_automotive,businesses_education,businesses_financial_services,businesses_food,businesses_healthcare,businesses_other,businesses_personal_services,businesses_professional_services,businesses_public_services,businesses_retail,businesses_skilled_trades,businesses_technology,businesses_tourism,businesses_per_1000_people,businesses_accommodation_per_1000_people,businesses_automotive_per_1000_people,businesses_education_per_1000_people,businesses_financial_services_per_1000_people,businesses_food_per_1000_people,businesses_healthcare_per_1000_people,businesses_other_per_1000_people,businesses_personal_services_per_1000_people,businesses_professional_services_per_1000_people,businesses_public_services_per_1000_people,businesses_retail_per_1000_people,businesses_skilled_trades_per_1000_people,businesses_technology_per_1000_people,businesses_tourism_per_1000_people
1004210000,City of Ozamiz,1004200000.0,1000000000.0,131527.0,141828.0,140334.0,143620.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.006962818548948615,0.0,0.0,0.0,0.0,0.0,0.0,0.006962818548948615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030500000,City of Cagayan De Oro,1030500000.0,1000000000.0,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
1030900000,City of Iligan,1030900000.0,1000000000.0,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
1380100000,City of Caloocan,1380100000.0,1300000000.0,1489040.0,1583978.0,1661584.0,1712945.0,3190,25,115,188,212,487,240,646,56,165,137,839,14,60,6,1.862289799147083,0.014594747642218518,0.06713583915420519,0.10975250226948326,0.12376346000601303,0.28430568407041673,0.14010957736529778,0.3771282790749265,0.03269223471856948,0.09632533443864222,0.07997921707935747,0.4897997308728535,0.00817305867964237,0.035027394341324444,0.0035027394341324443
1380200000,City of Las Piñas,1380200000.0,1300000000.0,552573.0,588894.0,606293.0,615549.0,2663,25,114,127,197,581,189,486,100,54,70,653,13,47,7,4.32621935865382,0.04061415094492884,0.18520052830887548,0.2063198868002385,0.3200395094460392,0.9438728679601461,0.307042981143662,0.7895390943694166,0.16245660377971535,0.08772656604104628,0.11371962264580074,1.0608416226815411,0.021119358491362993,0.0763546037764662,0.011371962264580074
1380300000,City of Makati,1380300000.0,1300000000.0,263683.0,280150.0,292743.0,309770.0,7003,181,166,125,799,1951,267,1278,213,347,177,1347,19,99,34,22.607095587048455,0.5843044839719792,0.5358814604383898,0.40352519611324533,2.5793330535558643,6.298221260935533,0.861929818897892,4.12564160506182,0.68760693417697,1.120185944410369,0.5713916776963553,4.348387513316331,0.06133582980921328,0.31959195532169027,0.10975885334280272
1380400000,City of Malabon,1380400000.0,1300000000.0,353337.0,365525.0,380522.0,389929.0,902,8,38,63,75,148,77,164,20,29,67,184,2,22,5,2.313241641427029,0.020516555578066777,0.09745363899581719,0.16156787517727586,0.19234270854437602,0.3795562781942354,0.19747184743889273,0.42058938935036894,0.05129138894516694,0.07437251397049206,0.17182615296630924,0.4718807782955359,0.005129138894516694,0.05642052783968363,0.012822847236291735
1380500000,City of Mandaluyong,1380500000.0,1300000000.0,328699.0,386276.0,425758.0,465902.0,2810,16,68,68,263,630,155,588,140,106,107,593,12,58,6,6.031311305811093,0.03434198608291014,0.14595344085236808,0.14595344085236808,0.5644963962378354,1.3522157020145869,0.33268799017819195,1.2620679885469477,0.3004923782254637,0.22751565779927965,0.22966203192946158,1.2727998591978569,0.025756489562182603,0.12448969955054925,0.012878244781091302
1380600000,City of Manila,1380600000.0,1300000000.0,1652171.0,1780148.0,1846513.0,1902590.0,9768,269,178,315,851,2002,590,2045,374,313,514,1975,25,221,96,5.134054105193447,0.14138621563237483,0.09355667800209189,0.16556378410482553,0.44728501674033816,1.0522498278662245,0.3101035956249113,1.0748505983948196,0.19657414366731665,0.16451258547558853,0.2701580477139058,1.0380586463715251,0.013139982865462344,0.11615744853068712,0.0504575342033754
1380700000,City of Marikina,1380700000.0,1300000000.0,424150.0,450741.0,456059.0,471323.0,3115,11,96,103,208,702,190,711,151,51,70,728,15,67,12,6.609055785522879,0.02333855975626057,0.2036819760546377,0.21853378680862168,0.4413109481183816,1.489424449899538,0.4031205776081371,1.5085196351546604,0.3203747748359405,0.10820604977902627,0.14851810753984,1.5445883184143359,0.03182530875853714,0.14215304578813254,0.025460247006829712
1380800000,City of Muntinlupa,1380800000.0,1300000000.0,459941.0,504509.0,543445.0,552225.0,2171,27,57,101,162,468,135,541,62,34,63,444,6,62,9,3.9313685544841324,0.04889311421974738,0.10321879668613336,0.18289646430349948,0.2933586853184843,0.8474806464756214,0.2444655710987369,0.9796731404771606,0.1122730770971977,0.06156910679523746,0.11408393317941055,0.8040201005025126,0.010865136493277196,0.1122730770971977,0.016297704739915795
1380900000,City of Navotas,1380900000.0,1300000000.0,249131.0,249463.0,247543.0,252878.0,343,0,8,34,41,29,22,103,3,12,40,47,1,3,0,1.356385292512595,0.0,0.03163580857172233,0.13445218642981993,0.16213351893007696,0.11467980607249345,0.0869984735722364,0.407311035360925,0.011863428214395875,0.0474537128575835,0.15817904285861167,0.1858603753588687,0.003954476071465291,0.011863428214395875,0.0
1381000000,City of Parañaque,1381000000.0,1300000000.0,588126.0,665822.0,689992.0,703245.0,3528,56,129,125,287,969,182,629,120,102,90,747,9,76,7,5.016743809056588,0.07963085411200933,0.18343536036516436,0.17774744221430652,0.40810812732404783,1.3778981720453043,0.2588002758640303,0.8944251292223905,0.17063754452573426,0.14504191284687412,0.1279781583943007,1.0622187146726958,0.01279781583943007,0.10807044486629837,0.009953856764001167
1381100000,Pasay City,1381100000.0,1300000000.0,392869.0,416522.0,440656.0,453186.0,3391,89,54,59,242,895,120,704,108,66,119,847,10,42,36,7.482578896965043,0.19638735530223791,0.11915637288000953,0.1301893703688993,0.533997078462265,1.9749065505112693,0.2647919397333545,1.5534460464356796,0.23831274576001907,0.145635566853345,0.26258534023557656,1.8689897746179271,0.022065994977779543,0.09267717890667408,0.07943758192000636
1381200000,City of Pasig,1381200000.0,1300000000.0,669773.0,755300.0,803159.0,853050.0,4342,48,166,135,404,876,262,1056,95,101,176,892,9,110,12,5.089971279526405,0.05626868296113944,0.1945958619072739,0.15825567082820466,0.47359474825625697,1.0269034640407948,0.30713322782955277,1.2379110251450676,0.11136510169392182,0.11839868706406424,0.2063185041908446,1.0456596916945078,0.010550378055213645,0.1289490651192779,0.01406717074028486
1381300000,Quezon City,1381300000.0,1300000000.0,2761720.0,2936116.0,2960048.0,3084270.0,17788,180,702,551,1247,3974,938,4166,723,490,535,3757,106,340,79,5.767329060036897,0.058360649359491874,0.2276065325020183,0.17864843220600013,0.4043096097293687,1.2884734475256707,0.30412382832890766,1.350724806842462,0.23441527492729236,0.15887065658972788,0.17346081892960086,1.2181164424645055,0.03436793795614521,0.11023678212348464,0.025613840552221434
